500|1|10|10|4.8|43.3|975.0
500|3|10|10|2.0|36.4|925.0
500|5|10|10|2.06|33.62|897.0
500|7|10|10|2.085714285714286|26.942857142857143|965.1428571428571
500|9|10|10|1.9444444444444444|27.72222222222222|1049.2222222222222
500|11|10|10|2.618181818181818|21.172727272727272|1230.5454545454545
500|13|10|10|2.1384615384615384|14.692307692307692|1377.4615384615386
500|15|10|10|1.9533333333333334|12.353333333333333|1415.6666666666667
500|17|10|10|1.9764705882352942|11.564705882352941|1796.5882352941176
500|19|10|10|2.0210526315789474|5.447368421052632|2315.1052631578946
