100|10|10|10|14.68|72.49|1637.0
200|10|10|10|3.32|97.79|1979.9
300|10|10|10|6.89|129.77|2391.5
400|10|10|10|5.02|142.31|2921.1
500|10|10|10|2.34|208.2|3312.1
600|10|10|10|2.32|246.05|3826.5
700|10|10|10|2.16|269.1|4250.6
800|10|10|10|1.79|364.09|4990.3
900|10|10|10|1.43|392.54|5339.6
1000|10|10|10|2.35|476.17|6320.0
